Model,RMSE,Precision@5,Recall@5,F1-score,Training Time,n_components,init,solver,beta_loss,max_iter
NMF_1,0.1071265360981007,0.29684946206972457,0.48684588702016524,0.3688166322299241,6.819773197174072,20,random,cd,frobenius,200
NMF_2,0.1071265360981007,0.29684946206972457,0.48684588702016524,0.3688166322299241,6.488443851470947,20,random,cd,frobenius,300
NMF_5,0.10770079631524347,0.30069064193930056,0.4959202543175874,0.3743824753644077,4.337445974349976,20,random,mu,frobenius,200
NMF_6,0.10770079631524347,0.30069064193930056,0.4959202543175874,0.3743824753644077,4.790883302688599,20,random,mu,frobenius,300
NMF_7,0.11871536384445944,0.30920947637784446,0.6216597072845921,0.41299696229793575,21.180157899856567,20,random,mu,kullback-leibler,200
NMF_8,0.11871536384445944,0.30920947637784446,0.6216597072845921,0.41299696229793575,18.659390687942505,20,random,mu,kullback-leibler,300
NMF_9,0.1070905628552866,0.29704207137550565,0.48775191353456354,0.36922515080254,4.539568662643433,20,nndsvd,cd,frobenius,200
NMF_10,0.1070905628552866,0.29704207137550565,0.48775191353456354,0.36922515080254,5.598949193954468,20,nndsvd,cd,frobenius,300
NMF_13,0.10727806091695015,0.2982582615634373,0.49122740640515106,0.37115970108413876,2.4836792945861816,20,nndsvd,mu,frobenius,200
NMF_14,0.10727806091695015,0.2982582615634373,0.49122740640515106,0.37115970108413876,2.3332760334014893,20,nndsvd,mu,frobenius,300
NMF_15,0.11255549905788874,0.3168863329939741,0.5781995882858438,0.4093987915898592,30.90038228034973,20,nndsvd,mu,kullback-leibler,200
NMF_16,0.11255549905788874,0.3168863329939741,0.5781995882858438,0.4093987915898592,32.990320682525635,20,nndsvd,mu,kullback-leibler,300
NMF_17,0.10705787840008772,0.29706408386759486,0.4868727928853089,0.3689899645430752,8.1233811378479,20,nndsvda,cd,frobenius,200
NMF_18,0.10705787840008772,0.29706408386759486,0.4868727928853089,0.3689899645430752,8.209809303283691,20,nndsvda,cd,frobenius,300
NMF_21,0.10710398391412117,0.2969870401452825,0.4872646783797693,0.369042977353012,3.464141368865967,20,nndsvda,mu,frobenius,200
NMF_22,0.10710398391412117,0.2969870401452825,0.4872646783797693,0.369042977353012,3.5073418617248535,20,nndsvda,mu,frobenius,300
