Model,RMSE,Precision@5,Recall@5,F1-score,Training Time,n_components,init,solver,beta_loss,max_iter
NMF_1,0.10786330527386842,0.5758576512455517,0.6623791716239871,0.6160955755158505,1.7984397411346436,20,random,cd,frobenius,200
NMF_2,0.10786330527386842,0.5758576512455517,0.6623791716239871,0.6160955755158505,1.8712456226348877,20,random,cd,frobenius,300
NMF_5,0.10811373584815169,0.5739786476868328,0.6594440791831822,0.6137503591411297,0.9760594367980957,20,random,mu,frobenius,200
NMF_6,0.10811373584815169,0.5739786476868328,0.6594440791831822,0.6137503591411297,0.9920341968536377,20,random,mu,frobenius,300
NMF_7,0.12881841440014088,0.5058220640569395,0.6557960927928748,0.571127665835643,5.602426767349243,20,random,mu,kullback-leibler,200
NMF_8,0.12881841440014088,0.5058220640569395,0.6557960927928748,0.571127665835643,5.382216453552246,20,random,mu,kullback-leibler,300
NMF_9,0.10756972604614741,0.5696797153024912,0.6511373811882466,0.6076909620686071,2.293181896209717,20,nndsvd,cd,frobenius,200
NMF_10,0.10756972604614741,0.5696797153024912,0.6511373811882466,0.6076909620686071,2.2816076278686523,20,nndsvd,cd,frobenius,300
NMF_13,0.11007493142695125,0.5575800711743772,0.6366470690820887,0.5944961492258762,0.8073956966400146,20,nndsvd,mu,frobenius,200
NMF_14,0.11007493142695125,0.5575800711743772,0.6366470690820887,0.5944961492258762,0.790870189666748,20,nndsvd,mu,frobenius,300
NMF_15,0.12345671318504702,0.5475871886120997,0.6750004585613624,0.6046545689710411,6.647111415863037,20,nndsvd,mu,kullback-leibler,200
NMF_16,0.12345671318504702,0.5475871886120997,0.6750004585613624,0.6046545689710411,6.988523960113525,20,nndsvd,mu,kullback-leibler,300
NMF_17,0.10756695401601533,0.5699074733096086,0.6512260528961353,0.6078591511816281,1.3213484287261963,20,nndsvda,cd,frobenius,200
NMF_18,0.10756695401601533,0.5699074733096086,0.6512260528961353,0.6078591511816281,1.3040196895599365,20,nndsvda,cd,frobenius,300
NMF_21,0.1078045218820524,0.5707046263345196,0.6534648545722849,0.6092872293714835,1.3631138801574707,20,nndsvda,mu,frobenius,200
NMF_22,0.1078045218820524,0.5707046263345196,0.6534648545722849,0.6092872293714835,1.3421308994293213,20,nndsvda,mu,frobenius,300
NMF_23,0.12120871580416276,0.5483274021352313,0.6846771727186339,0.608963280550032,9.411621332168579,20,nndsvda,mu,kullback-leibler,200
NMF_24,0.12120871580416276,0.5483274021352313,0.6846771727186339,0.608963280550032,8.076270818710327,20,nndsvda,mu,kullback-leibler,300
NMF_25,0.06523316303046538,0.6669323843416372,0.7838498410556981,0.720679967412634,7.812841176986694,50,random,cd,frobenius,200
NMF_26,0.06523316303046538,0.6669323843416372,0.7838498410556981,0.720679967412634,7.110731363296509,50,random,cd,frobenius,300
NMF_29,0.06583653664483081,0.668355871886121,0.7885850749795441,0.7235097159952794,4.117861747741699,50,random,mu,frobenius,200
NMF_30,0.06583653664483081,0.668355871886121,0.7885850749795441,0.7235097159952794,3.9598472118377686,50,random,mu,frobenius,300
NMF_31,0.08823254318572286,0.6448967971530248,0.8000084241997236,0.7141269376531468,5.004010200500488,50,random,mu,kullback-leibler,200
NMF_32,0.08823254318572286,0.6448967971530248,0.8000084241997236,0.7141269376531468,4.898247718811035,50,random,mu,kullback-leibler,300
NMF_33,0.06515090493126745,0.6655658362989323,0.7817869703558167,0.7190101768415573,15.57247281074524,50,nndsvd,cd,frobenius,200
NMF_34,0.06515090493126745,0.6655658362989323,0.7817869703558167,0.7190101768415573,13.753621101379395,50,nndsvd,cd,frobenius,300
NMF_37,0.069408142617744,0.6611530249110321,0.7757789404260784,0.7138940541344927,3.192802906036377,50,nndsvd,mu,frobenius,200
NMF_38,0.069408142617744,0.6611530249110321,0.7757789404260784,0.7138940541344927,2.9923837184906006,50,nndsvd,mu,frobenius,300
NMF_39,0.08280408806023096,0.6573665480427047,0.8034117638889803,0.7230885255767657,8.032106637954712,50,nndsvd,mu,kullback-leibler,200
NMF_40,0.08280408806023096,0.6573665480427047,0.8034117638889803,0.7230885255767657,7.853968143463135,50,nndsvd,mu,kullback-leibler,300
NMF_41,0.06513468829738349,0.6685551601423488,0.7874095202061245,0.7231311377045488,2.7163703441619873,50,nndsvda,cd,frobenius,200
NMF_42,0.06513468829738349,0.6685551601423488,0.7874095202061245,0.7231311377045488,2.74355149269104,50,nndsvda,cd,frobenius,300
NMF_45,0.0672749839431308,0.662035587188612,0.7756625281708763,0.7143588654832556,1.5162982940673828,50,nndsvda,mu,frobenius,200
NMF_46,0.0672749839431308,0.662035587188612,0.7756625281708763,0.7143588654832556,1.3498246669769287,50,nndsvda,mu,frobenius,300
NMF_47,0.07967765080291954,0.6618932384341637,0.8070238124549332,0.7272889975590736,4.023937940597534,50,nndsvda,mu,kullback-leibler,200
NMF_48,0.07967765080291954,0.6618932384341637,0.8070238124549332,0.7272889975590736,3.8239970207214355,50,nndsvda,mu,kullback-leibler,300
